Time ;depth, cm;Flow up, (Hz);Flow down, (Hz);..;
test;1.00;-31.00;0.00;0.00;322093.000000
test;1.00;-31.00;0.00;0.00;322093.000000
test;1.00;-31.00;0.00;0.00;322093.000000
test;1.00;-31.00;0.00;0.00;322093.000000
test;1.00;-31.00;0.00;0.00;322093.000000
test;1.00;-31.00;0.00;0.00;322093.000000
test;1.00;-31.00;0.00;0.00;322093.000000
test;1.00;-31.00;0.00;0.00;322093.000000
test;1.00;-31.00;0.00;0.00;322093.000000
test;1.00;-31.00;0.00;0.00;322093.000000
test;1.00;-31.00;0.00;0.00;322093.000000
test;1.00;-31.00;0.00;0.00;322093.000000
test;1.00;-31.00;0.00;0.00;322093.000000
test;1.00;-31.00;0.00;0.00;322093.000000
test;1.00;-31.00;0.00;0.00;322093.000000
test;1.00;-31.00;0.00;0.00;322093.000000
test;1.00;-31.00;0.00;0.00;322093.000000
test;1.00;-31.00;0.00;0.00;322093.000000
test;1.00;-31.00;0.00;0.00;322093.000000
test;1.00;-31.00;0.00;0.00;322093.000000
test;2.00;-31.00;0.00;0.00;322093.000000
test;2.00;-31.00;0.00;0.00;322093.000000
test;2.00;-31.00;0.00;0.00;322093.000000
test;2.00;-31.00;0.00;0.00;322093.000000
test;2.00;-31.00;0.00;0.00;322093.000000
test;2.00;-31.00;0.00;0.00;322093.000000
test;2.00;-31.00;0.00;0.00;322093.000000
test;2.00;-31.00;0.00;0.00;322093.000000
test;2.00;-31.00;0.00;0.00;322093.000000
test;2.00;-31.00;0.00;0.00;322093.000000
test;2.00;-31.00;0.00;0.00;322093.000000
test;2.00;-31.00;0.00;0.00;322093.000000
test;2.00;-31.00;0.00;0.00;322093.000000
test;2.00;-31.00;0.00;0.00;322093.000000
test;2.00;-31.00;0.00;0.00;322093.000000
test;2.00;-31.00;0.00;0.00;322093.000000
test;2.00;-31.00;0.00;0.00;322093.000000
test;2.00;-31.00;0.00;0.00;322093.000000
test;2.00;-31.00;0.00;0.00;322093.000000
test;2.00;-31.00;0.00;0.00;322093.000000
test;3.00;-31.00;0.00;0.00;322093.000000
test;3.00;-31.00;0.00;0.00;322093.000000
test;3.00;-31.00;0.00;0.00;322093.000000
test;3.00;-31.00;0.00;0.00;322093.000000
test;3.00;-31.00;0.00;0.00;322093.000000
test;3.00;-31.00;0.00;0.00;322093.000000
test;3.00;-31.00;0.00;0.00;322093.000000
test;3.00;-31.00;0.00;0.00;322093.000000
test;3.00;-31.00;0.00;0.00;322093.000000
test;3.00;-31.00;0.00;0.00;322093.000000
test;3.00;-31.00;0.00;0.00;322093.000000
test;3.00;-31.00;0.00;0.00;322093.000000
test;3.00;-31.00;0.00;0.00;322093.000000
test;3.00;-31.00;0.00;0.00;322093.000000
test;3.00;-31.00;0.00;0.00;322093.000000
test;3.00;-31.00;0.00;0.00;322093.000000
test;3.00;-31.00;0.00;0.00;322093.000000
test;3.00;-31.00;0.00;0.00;322093.000000
test;3.00;-31.00;0.00;0.00;322093.000000
test;3.00;-31.00;0.00;0.00;322093.000000
test;4.00;-31.00;0.00;0.00;322093.000000
test;4.00;-31.00;0.00;0.00;322093.000000
test;4.00;-31.00;0.00;0.00;322093.000000
test;4.00;-31.00;0.00;0.00;322093.000000
test;4.00;-31.00;0.00;0.00;322093.000000
test;4.00;-31.00;0.00;0.00;322093.000000
test;4.00;-31.00;0.00;0.00;322093.000000
test;4.00;-31.00;0.00;0.00;322093.000000
test;4.00;-31.00;0.00;0.00;322093.000000
test;4.00;-31.00;0.00;0.00;322093.000000
test;4.00;-31.00;0.00;0.00;322093.000000
test;4.00;-31.00;0.00;0.00;322093.000000
test;4.00;-31.00;0.00;0.00;322093.000000
test;4.00;-31.00;0.00;0.00;322093.000000
test;4.00;-31.00;0.00;0.00;322093.000000
test;4.00;-31.00;0.00;0.00;322093.000000
test;4.00;-31.00;0.00;0.00;322093.000000
test;4.00;-31.00;0.00;0.00;322093.000000
test;4.00;-31.00;0.00;0.00;322093.000000
test;4.00;-31.00;0.00;0.00;322093.000000
test;5.00;-31.00;0.00;0.00;322093.000000
test;5.00;-31.00;0.00;0.00;322093.000000
test;5.00;-31.00;0.00;0.00;322093.000000
test;5.00;-31.00;0.00;0.00;322093.000000
test;5.00;-31.00;0.00;0.00;322093.000000
test;5.00;-31.00;0.00;0.00;322093.000000
test;5.00;-31.00;0.00;0.00;322093.000000
test;5.00;-31.00;0.00;0.00;322093.000000
test;5.00;-31.00;0.00;0.00;322093.000000
test;5.00;-31.00;0.00;0.00;322093.000000
test;5.00;-31.00;0.00;0.00;322093.000000
test;5.00;-31.00;0.00;0.00;322093.000000
test;5.00;-31.00;0.00;0.00;322093.000000
test;5.00;-31.00;0.00;0.00;322093.000000
test;5.00;-31.00;0.00;0.00;322093.000000
test;5.00;-31.00;0.00;0.00;322093.000000
test;5.00;-31.00;0.00;0.00;322093.000000
test;5.00;-31.00;0.00;0.00;322093.000000
test;5.00;-31.00;0.00;0.00;322093.000000
test;5.00;-31.00;0.00;0.00;322093.000000
test;6.00;-31.00;0.00;0.00;322093.000000
test;6.00;-31.00;0.00;0.00;322093.000000
test;6.00;-31.00;0.00;0.00;322093.000000
test;6.00;-31.00;0.00;0.00;322093.000000
test;6.00;-31.00;0.00;0.00;322093.000000
test;6.00;-31.00;0.00;0.00;322093.000000
test;6.00;-31.00;0.00;0.00;322093.000000
test;6.00;-31.00;0.00;0.00;322093.000000
test;6.00;-31.00;0.00;0.00;322093.000000
test;6.00;-31.00;0.00;0.00;322093.000000
test;6.00;-31.00;0.00;2.40;322093.000000
test;6.00;-31.00;0.00;0.00;322093.000000
test;6.00;-31.00;0.00;12.12;322093.000000
test;6.00;-31.00;0.00;12.12;322093.000000
test;6.00;-31.00;0.00;21.99;322093.000000
test;6.00;-31.00;0.00;21.99;322093.000000
test;6.00;-31.00;0.00;30.18;322093.000000
test;6.00;-31.00;0.00;36.75;322093.000000
test;6.00;-31.00;0.00;42.52;322093.000000
test;6.00;-31.00;0.00;49.53;322093.000000
test;7.00;-31.00;0.00;54.14;322093.000000
test;7.00;-31.00;0.00;54.47;322093.000000
test;7.00;-31.00;0.00;52.32;322093.000000
test;7.00;-31.00;0.00;53.35;322093.000000
test;7.00;-31.00;0.00;49.89;322093.000000
test;7.00;-31.00;0.00;49.49;322093.000000
test;7.00;-31.00;0.00;47.21;322093.000000
test;7.00;-31.00;0.00;47.01;322093.000000
test;7.00;-31.00;0.00;47.46;322093.000000
test;7.00;-31.00;0.00;44.35;322093.000000
test;7.00;-31.00;0.00;44.07;322093.000000
test;7.00;-31.00;0.00;44.76;322093.000000
test;7.00;-31.00;0.00;41.95;322093.000000
test;7.00;-31.00;0.00;41.60;322093.000000
test;7.00;-31.00;0.00;42.21;322093.000000
test;7.00;-31.00;0.00;39.58;322093.000000
test;7.00;-31.00;0.00;39.18;322093.000000
test;7.00;-31.00;0.00;39.75;322093.000000
test;7.00;-31.00;0.00;37.03;322093.000000
test;7.00;-31.00;0.00;36.62;322093.000000
test;8.00;-31.00;0.00;36.84;322093.000000
test;8.00;-31.00;0.00;34.53;322093.000000
test;8.00;-31.00;0.00;34.37;322093.000000
test;8.00;-31.00;0.00;34.46;322093.000000
test;8.00;-31.00;0.00;34.46;322093.000000
test;8.00;-31.00;0.00;32.29;322093.000000
test;8.00;-31.00;0.00;31.60;322093.000000
test;8.00;-31.00;0.00;31.97;322093.000000
test;8.00;-31.00;0.00;29.92;322093.000000
test;8.00;-31.00;0.00;29.92;322093.000000
test;8.00;-31.00;0.00;29.34;322093.000000
test;8.00;-31.00;0.00;29.48;322093.000000
test;8.00;-31.00;0.00;27.57;322093.000000
test;8.00;-31.00;0.00;27.57;322093.000000
test;8.00;-31.00;0.00;27.32;322093.000000
test;8.00;-31.00;0.00;26.73;322093.000000
test;8.00;-31.00;0.00;26.73;322093.000000
test;8.00;-31.00;0.00;24.90;322093.000000
test;8.00;-31.00;0.00;24.90;322093.000000
test;8.00;-31.00;0.00;24.45;322093.000000
test;9.00;-31.00;0.00;24.42;322093.000000
test;9.00;-31.00;0.00;24.42;322093.000000
test;9.00;-31.00;0.00;22.61;322093.000000
test;9.00;-31.00;0.00;22.61;322093.000000
test;9.00;-31.00;0.00;22.55;322093.000000
test;9.00;-31.00;0.00;22.55;322093.000000
test;9.00;-31.00;0.00;22.02;322093.000000
test;9.00;-31.00;0.00;22.02;322093.000000
test;9.00;-31.00;0.00;20.27;322093.000000
test;9.00;-31.00;0.00;20.27;322093.000000
test;9.00;-31.00;0.00;20.49;322093.000000
test;9.00;-31.00;0.00;20.49;322093.000000
test;9.00;-31.00;0.00;18.66;322093.000000
test;9.00;-31.00;0.00;18.66;322093.000000
test;9.00;-31.00;0.00;17.05;322093.000000
test;9.00;-31.00;0.00;17.05;322093.000000
test;9.00;-31.00;0.00;17.07;322093.000000
test;9.00;-31.00;0.00;17.07;322093.000000
test;9.00;-31.00;0.00;17.07;322093.000000
test;9.00;-31.00;0.00;16.21;322093.000000
test;10.00;-31.00;0.00;16.21;322093.000000
test;10.00;-31.00;0.00;14.41;322093.000000
test;10.00;-31.00;0.00;14.41;322093.000000
test;10.00;-31.00;0.00;14.41;322093.000000
test;10.00;-31.00;0.00;14.17;322093.000000
test;10.00;-31.00;0.00;14.17;322093.000000
test;10.00;-31.00;0.00;14.17;322093.000000
test;10.00;-31.00;0.00;13.12;322093.000000
test;10.00;-31.00;0.00;13.12;322093.000000
test;10.00;-31.00;0.00;13.12;322093.000000
test;10.00;-31.00;0.00;11.24;322093.000000
test;10.00;-31.00;0.00;11.24;322093.000000
test;10.00;-31.00;0.00;11.24;322093.000000
test;10.00;-31.00;0.00;11.24;322093.000000
test;10.00;-31.00;0.00;11.07;322093.000000
test;10.00;-31.00;0.00;11.07;322093.000000
test;10.00;-31.00;0.00;11.07;322093.000000
test;10.00;-31.00;0.00;11.07;322093.000000
test;10.00;-31.00;0.00;9.19;322093.000000
test;10.00;-31.00;0.00;9.19;322093.000000
test;11.00;-31.00;0.00;9.19;322093.000000
test;11.00;-31.00;0.00;9.19;322093.000000
test;11.00;-31.00;0.00;9.19;322093.000000
test;11.00;-31.00;0.00;7.37;322093.000000
test;11.00;-31.00;0.00;7.37;322093.000000
test;11.00;-31.00;0.00;7.37;322093.000000
test;11.00;-31.00;0.00;7.37;322093.000000
test;11.00;-31.00;0.00;7.37;322093.000000
test;11.00;-31.00;0.00;7.37;322093.000000
test;11.00;-31.00;0.00;7.37;322093.000000
test;11.00;-31.00;0.00;5.78;322093.000000
test;11.00;-31.00;0.00;5.78;322093.000000
test;11.00;-31.00;0.00;5.78;322093.000000
test;11.00;-31.00;0.00;5.78;322093.000000
test;11.00;-31.00;0.00;5.78;322093.000000
test;11.00;-31.00;0.00;5.78;322093.000000
