ID,Time_ms,Depth_cm,FlowUP_Hz,FlowDN_Hz,N,Flow_Hz
Point measurement,17,1451,0,0,11982,0
Point measurement,18,1451,0,0,11982,0
Point measurement,18,1451,0,0,11982,0
Point measurement,18,1451,0,0,11982,0
Point measurement,18,1451,0,0,11982,0
Point measurement,18,1451,0,0,11982,0
Point measurement,18,1451,0,0,11982,0
Point measurement,18,1451,0,0,11982,0
Point measurement,18,1451,0,0,11982,0
Point measurement,18,1451,0,0,11982,0
Point measurement,18,1451,0,0,11982,0
Point measurement,18,1451,0,0,11982,0
Point measurement,18,1451,0,0,11982,0
Point measurement,18,1451,0,0,11982,0
Point measurement,18,1451,0,0,11982,0
Point measurement,18,1451,0,0,11982,0
Point measurement,18,1451,0,0,11982,0
Point measurement,18,1451,0,0,11982,0
Point measurement,18,1451,0,0,11982,0
Point measurement,18,1451,0,0,11982,0
Point measurement,18,1451,0,0,11982,0
Point measurement,19,1451,0,0,11982,0
Point measurement,19,1451,0,0,11982,0
Point measurement,19,1451,0,0,11982,0
Point measurement,19,1451,0,0,11982,0
Point measurement,1,1402,0,0,281325,0
Point measurement,1,1402,0,0,281325,0
Point measurement,1,1402,0,0,281325,0
Point measurement,1,1402,0,0,281325,0
Point measurement,1,1402,0,0,281325,0
Point measurement,1,1402,0,0,281325,0
Point measurement,1,1402,0,0,281325,0
Point measurement,1,1402,0,0,281325,0
Point measurement,1,1402,0,0,281325,0
Point measurement,1,1402,0,0,281325,0
Point measurement,1,1402,0,0,281325,0
Point measurement,1,1402,0,0,281325,0
Point measurement,1,1402,0,0,281325,0
Point measurement,1,1402,0,0,281325,0
Point measurement,1,1402,0,0,281325,0
Point measurement,1,1402,0,0,281325,0
Point measurement,2,1402,0,0,281325,0
Point measurement,2,1402,0,0,281325,0
Point measurement,2,1402,0,0,281325,0
Point measurement,2,1402,0,0,281325,0
Point measurement,2,1402,0,0,281325,0
Point measurement,2,1402,0,0,281325,0
Point measurement,2,1402,0,0,281325,0
Point measurement,2,1402,0,0,281325,0
Point measurement,2,1402,0,0,281325,0
Point measurement,2,1402,0,0,281325,0
Point measurement,2,1402,0,0,281325,0
Point measurement,2,1402,0,0,281325,0
Point measurement,2,1402,0,0,281325,0
Point measurement,2,1402,0,0,281325,0
Point measurement,2,1402,0,0,281325,0
Point measurement,2,1402,0,0,281325,0
Point measurement,2,1402,0,0,281325,0
Point measurement,2,1402,0,0,281325,0
Point measurement,2,1402,0,0,281325,0
Point measurement,2,1402,0,0,281325,0
Point measurement,3,1402,0,0,281325,0
Point measurement,3,1402,0,0,281325,0
Point measurement,3,1402,0,0,281325,0
Point measurement,3,1402,0,0,281325,0
Point measurement,3,1402,0,0,281325,0
Point measurement,3,1402,0,0,281325,0
Point measurement,3,1402,0,0,281325,0
Point measurement,3,1402,0,0,281325,0
Point measurement,3,1402,0,0,281325,0
Point measurement,3,1402,0,0,281325,0
Point measurement,3,1402,0,0,281325,0
Point measurement,3,1402,0,0,281325,0
Point measurement,3,1402,0,0,281325,0
Point measurement,3,1402,0,0,281325,0
Point measurement,3,1402,0,0,281325,0
Point measurement,3,1402,0,0,281325,0
Point measurement,3,1402,0,0,281325,0
Point measurement,3,1402,0,0,281325,0
Point measurement,3,1402,0,0,281325,0
Point measurement,3,1402,0,0,281325,0
Point measurement,4,1402,0,0,281325,0
Point measurement,4,1402,0,0,281325,0
Point measurement,4,1402,0,0,281325,0
Point measurement,4,1402,0,0,281325,0
Point measurement,4,1402,0,0,281325,0
Point measurement,4,1402,0,0,281325,0
Point measurement,4,1402,0,0,281325,0
Point measurement,4,1402,0,0,281325,0
Point measurement,4,1402,0,0,281325,0
Point measurement,4,1402,0,0,281325,0
Point measurement,4,1402,0,0,281325,0
Point measurement,4,1402,0,0,281325,0
Point measurement,4,1402,0,0,281325,0
Point measurement,4,1402,0,0,281325,0
Point measurement,4,1402,0,0,281325,0
Point measurement,4,1402,0,0,281325,0
Point measurement,4,1402,0,0,281325,0
Point measurement,4,1402,0,0,281325,0
Point measurement,4,1402,0,0,281325,0
Point measurement,4,1402,0,0,281325,0
Point measurement,5,1402,0,0,281325,0
Point measurement,5,1402,0,0,281325,0
Point measurement,5,1402,0,0,281325,0
Point measurement,5,1402,0,0,281325,0
Point measurement,5,1402,0,0,281325,0
Point measurement,5,1402,0,0,281325,0
Point measurement,5,1402,0,0,281325,0
Point measurement,5,1402,0,0,281325,0
Point measurement,5,1402,0,0,281325,0
Point measurement,5,1402,0,0,281325,0
Point measurement,5,1402,0,0,281325,0
Point measurement,5,1402,0,0,281325,0
Point measurement,5,1402,0,0,281325,0
Point measurement,5,1402,0,0,281325,0
Point measurement,5,1402,0,0,281325,0
Point measurement,5,1402,0,0,281325,0
Point measurement,5,1402,0,0,281325,0
Point measurement,5,1402,0,0,281325,0
Point measurement,5,1402,0,0,281325,0
Point measurement,5,1402,0,0,281325,0
Point measurement,6,1402,0,0,281325,0
Point measurement,6,1402,0,0,281325,0
Point measurement,6,1402,0,0,281325,0
Point measurement,6,1402,0,0,281325,0
Point measurement,6,1402,0,0,281325,0
Point measurement,6,1402,0,0,281325,0
Point measurement,6,1402,0,0,281325,0
Point measurement,6,1402,0,0,281325,0
Point measurement,6,1402,0,0,281325,0
Point measurement,6,1402,0,0,281325,0
Point measurement,6,1402,0,0,281325,0
Point measurement,6,1402,0,0,281325,0
Point measurement,6,1402,0,0,281325,0
Point measurement,6,1402,0,0,281325,0
Point measurement,6,1402,0,0,281325,0
Point measurement,6,1402,0,0,281325,0
Point measurement,6,1402,0,0,281325,0
Point measurement,6,1402,0,0,281325,0
Point measurement,6,1402,0,0,281325,0
Point measurement,6,1402,0,0,281325,0
Point measurement,7,1402,0,0,281325,0
Point measurement,7,1402,0,0,281325,0
Point measurement,7,1402,0,0,281325,0
Point measurement,7,1402,0,0,281325,0
Point measurement,7,1402,0,0,281325,0
Point measurement,7,1402,0,0,281325,0
Point measurement,7,1402,0,0,281325,0
Point measurement,7,1402,0,0,281325,0
Point measurement,7,1402,0,0,281325,0
Point measurement,7,1402,0,0,281325,0
Point measurement,7,1402,0,0,281325,0
Point measurement,7,1402,0,0,281325,0
Point measurement,7,1402,0,0,281325,0
Point measurement,7,1402,0,0,281325,0
Point measurement,7,1402,0,0,281325,0
Point measurement,7,1402,0,0,281325,0
Point measurement,7,1402,0,0,281325,0
Point measurement,7,1402,0,0,281325,0
Point measurement,7,1402,0,0,281325,0
Point measurement,7,1402,0,0,281325,0
Point measurement,8,1402,0,0,281325,0
Point measurement,8,1402,0,0,281325,0
Point measurement,8,1402,0,0,281325,0
Point measurement,8,1402,0,0,281325,0
Point measurement,8,1402,0,0,281325,0
Point measurement,8,1402,0,0,281325,0
Point measurement,8,1402,0,0,281325,0
Point measurement,8,1402,0,0,281325,0
Point measurement,8,1402,0,0,281325,0
Point measurement,8,1402,0,0,281325,0
Point measurement,8,1402,0,0,281325,0
Point measurement,8,1402,0,0,281325,0
Point measurement,8,1402,0,0,281325,0
Point measurement,8,1402,0,0,281325,0
Point measurement,8,1402,0,0,281325,0
Point measurement,8,1402,0,0,281325,0
Point measurement,8,1402,0,0,281325,0
Point measurement,8,1402,0,0,281325,0
Point measurement,8,1402,0,0,281325,0
Point measurement,8,1402,0,0,281325,0
Point measurement,9,1402,0,0,281325,0
Point measurement,9,1402,0,0,281325,0
Point measurement,9,1402,0,0,281325,0
Point measurement,9,1402,0,0,281325,0
Point measurement,9,1402,0,0,281325,0
Point measurement,9,1402,0,0,281325,0
Point measurement,9,1402,0,0,281325,0
Point measurement,9,1402,0,0,281325,0
Point measurement,9,1402,0,0,281325,0
Point measurement,9,1402,0,0,281325,0
Point measurement,9,1402,0,0,281325,0
Point measurement,9,1402,0,0,281325,0
Point measurement,9,1402,0,0,281325,0
Point measurement,9,1402,0,0,281325,0
Point measurement,9,1402,0,0,281325,0
Point measurement,9,1402,0,0,281325,0
Point measurement,9,1402,0,0,281325,0
Point measurement,9,1402,0,0,281325,0
Point measurement,9,1402,0,0,281325,0
Point measurement,9,1402,0,0,281325,0
Point measurement,10,1402,0,0,281325,0
Point measurement,10,1402,0,0,281325,0
Point measurement,10,1402,0,0,281325,0
Point measurement,10,1402,0,0,281325,0
Point measurement,10,1402,0,0,281325,0
Point measurement,10,1402,0,0,281325,0
Point measurement,10,1402,0,0,281325,0
Point measurement,10,1402,0,0,281325,0
Point measurement,10,1402,0,0,281325,0
Point measurement,10,1402,0,0,281325,0
Point measurement,10,1402,0,0,281325,0
Point measurement,10,1402,0,0,281325,0
Point measurement,10,1402,0,0,281325,0
Point measurement,10,1402,0,0,281325,0
Point measurement,10,1402,0,0,281325,0
Point measurement,10,1402,0,0,281325,0
Point measurement,10,1402,0,0,281325,0
Point measurement,10,1402,0,0,281325,0
Point measurement,10,1402,0,0,281325,0
Point measurement,10,1402,0,0,281325,0
Point measurement,11,1402,0,0,281325,0
Point measurement,11,1402,0,0,281325,0
Point measurement,11,1402,0,0,281325,0
Point measurement,11,1402,0,0,281325,0
Point measurement,11,1402,0,0,281325,0
Point measurement,11,1402,0,0,281325,0
Point measurement,11,1402,0,0,281325,0
Point measurement,11,1402,0,0,281325,0
Point measurement,11,1402,0,0,281325,0
Point measurement,11,1402,0,0,281325,0
Point measurement,11,1402,0,0,281325,0
Point measurement,11,1402,0,0,281325,0
Point measurement,11,1402,0,0,281325,0
Point measurement,11,1402,0,0,281325,0
Point measurement,11,1402,0,0,281325,0
Point measurement,11,1402,0,0,281325,0
Point measurement,11,1402,0,0,281325,0
Point measurement,11,1402,0,0,281325,0
Point measurement,11,1402,0,0,281325,0
Point measurement,11,1402,0,0,281325,0
Point measurement,12,1402,0,0,281325,0
Point measurement,12,1402,0,0,281325,0
Point measurement,1,1350,0,1.42,280241,-1.42
Point measurement,1,1350,0,0,280241,0
Point measurement,1,1350,0,0,280241,0
Point measurement,1,1350,0,0,280241,0
Point measurement,1,1350,0,0,280241,0
Point measurement,1,1350,0,0,280241,0
Point measurement,1,1350,0,0,280241,0
Point measurement,1,1350,0,0,280241,0
Point measurement,1,1350,0,0,280241,0
Point measurement,1,1350,0,0,280241,0
Point measurement,1,1350,0,0,280241,0
Point measurement,1,1350,0,0,280241,0
Point measurement,1,1350,0,0,280241,0
Point measurement,1,1350,0,0,280241,0
Point measurement,1,1350,0,0,280241,0
