"Date_CET";"P2.1";"P3.2";"P7.2";"P6.2";"P6.1";"P4.1"
2018-10-24;436.7756448381;436.417749385489;436.515073916021;436.596308863881;436.631224030261;436.289348995191
2018-10-25;436.775580204529;436.417684917013;436.515016966636;436.596262478805;436.631175068002;436.289288412914
2018-10-26;436.775532348077;436.417638825758;436.514983212874;436.596223057101;436.631134869145;NA
2018-10-27;436.775517500809;436.41762195832;436.514956925696;436.596187019706;436.631097803413;436.289225470157
2018-10-28;436.775527984118;436.417632435091;436.515000227412;436.596221849658;436.631128966767;436.289254350741
2018-10-29;436.775542612371;436.417646801833;436.514994021204;436.596217984203;436.631127070815;436.289263431699
2018-10-30;436.775600854532;436.41770656169;436.515051610055;436.5962646646;436.631172798035;436.28932578238
2018-10-31;436.775655043278;436.417758522926;436.515096083213;436.596298990497;436.631208299681;436.289356266351
2018-11-01;436.775688886728;436.417793648245;436.515143667386;436.596350589958;436.631261489632;436.289416900422
2018-11-02;436.775731030806;436.417836527822;436.515192407398;436.596389314551;436.631300321632;436.289457740662
2018-11-21;NA;NA;436.51543143632;436.596593472659;436.631506532599;NA
2018-11-22;NA;NA;436.515379688729;436.596539695443;436.631456355648;NA
2018-11-23;NA;NA;436.515213658024;436.596404023269;436.631321988042;NA
2018-11-24;NA;NA;436.515039489036;436.596252247388;436.631162496857;NA
2018-11-25;NA;NA;436.514970687214;436.5961656489;436.631072783316;NA
2018-11-26;436.775410857693;436.41751491173;436.514880546121;436.596102794042;436.631008647825;436.289117188396
