"Date_CET";"T2.1";"T3.2";"T7.2";"T6.2";"T6.1";"T4.1"
2019-03-28;10.6407657142857;10.9410828571429;10.5863536363636;10.4188963636364;10.1823163636364;10.29489
2019-03-29;10.6117114285714;10.9097457142857;10.5629992307692;10.4006089473684;10.1730963157895;10.2962233333333
2019-03-30;10.607506;10.916018;10.5632758823529;10.3857268421053;10.1550042105263;10.2783383333333
2019-03-31;NA;NA;10.5478044444444;10.3657726666667;10.141088;NA
2019-04-01;NA;NA;10.5358127777778;10.3545127777778;10.1228666666667;NA
2019-04-02;NA;NA;10.53850625;10.3432305555556;10.1083661111111;NA
2019-04-03;NA;NA;10.517776875;10.3284172222222;10.0908605555556;NA
2019-04-04;10.57233;10.91602;10.5193955555556;10.30477875;10.07259375;NA
2019-04-05;10.56439;10.88013;10.5133890909091;10.2903238888889;10.0636566666667;10.2530675
2019-04-06;10.558838;10.91759;10.5064286666667;10.26925;10.0494833333333;NA
2019-04-07;10.5532977777778;10.8938544444444;10.4946315789474;10.2603152941176;10.0464805882353;10.2072233333333
2019-04-08;10.533465;10.8671575;10.4805263157895;10.23908;10.0305;10.213562
2019-04-09;10.5175325;10.8192775;10.4485975;10.2446645454545;10.0264116363636;10.19029
2019-04-10;10.52117;10.831585;10.431588125;10.2491455555556;10.0068348888889;10.19527
2019-04-11;10.520475;10.81232;10.4086378571429;10.2168311111111;10.0004672222222;10.180126
2019-04-12;10.5079614285714;10.7581428571429;10.3948230769231;10.2167323076923;9.98514892307692;10.1793216666667
2019-04-13;10.477915;10.7511;10.3799122222222;10.21459;9.976766;10.184094
2019-04-14;10.4815675;10.7294775;10.3425138461538;10.1940407692308;9.96235076923077;10.1778175
2019-04-15;10.469384;10.713306;10.3421953846154;10.1824221428571;9.9588405;10.17633
2019-04-16;10.4732583333333;10.770405;10.34710375;10.1516464285714;9.94219535714286;10.167855
2019-04-17;10.476586;10.82665;10.3511782352941;10.1221576470588;9.92962294117647;10.14343
2019-04-18;10.4680528571429;10.76954;10.33935;10.1045841666667;9.92136116666667;10.1573925
2019-04-19;10.4646;10.73651;10.326858125;10.0796770588235;9.91172517647059;10.1464075
2019-04-20;10.41272;10.692505;10.3127777777778;10.0607905555556;9.90498866666667;10.1372
2019-04-21;10.4473066666667;10.6566133333333;10.3074505555556;10.0478391333333;9.89440906666667;10.133455
2019-04-22;10.45961125;10.6785425;10.29435;10.0378114375;9.894100125;10.137026
2019-04-23;10.450625;10.584685;10.294593125;10.0195965;9.8995285625;10.1274328571429
2019-04-24;10.426015;10.5573616666667;10.2553175;10.0000924117647;9.89452058823529;10.10221
2019-04-25;NA;NA;10.2516505555556;10.0004752222222;9.895996;10.1184825
2019-04-26;NA;NA;10.269119;10.0000380555556;9.89709133333333;NA
2019-04-27;NA;NA;10.2600847058824;9.97476989473684;9.89876184210526;NA
2019-04-28;10.4293516666667;10.5800183333333;10.2440652941176;9.9986458125;9.904720375;10.1121616666667
